time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,algae_20k_cells_ml,20000,white,13905,20655,33692,44032,6419.45,2901.64,1257.59,10746.59
2.0,algae_20k_cells_ml,20000,white,13889,20667,33670,44032,6419.45,2901.64,1257.59,10746.59
4.0,algae_20k_cells_ml,20000,white,13878,20654,33641,44032,6419.45,2901.64,1257.59,10746.59
6.0,algae_20k_cells_ml,20000,white,13860,20617,33591,44032,6419.45,2901.64,1257.59,10746.59
8.0,algae_20k_cells_ml,20000,white,13854,20594,33517,44032,6419.45,2901.64,1257.59,10746.59
10.0,algae_20k_cells_ml,20000,white,13847,20585,33513,44032,6419.45,2901.64,1257.59,10746.59
12.0,algae_20k_cells_ml,20000,white,13829,20565,33449,44032,6419.45,2901.64,1257.59,10746.59
14.0,algae_20k_cells_ml,20000,white,13821,20551,33401,44032,6419.45,2901.64,1257.59,10746.59
16.0,algae_20k_cells_ml,20000,white,13813,20527,33341,44032,6419.45,2901.64,1257.59,10746.59
18.0,algae_20k_cells_ml,20000,white,13800,20497,33263,44032,6419.45,2901.64,1257.59,10746.59
20.0,algae_20k_cells_ml,20000,white,13794,20483,33208,44032,6419.45,2901.64,1257.59,10746.59
22.0,algae_20k_cells_ml,20000,white,13776,20443,33097,44032,6419.45,2901.64,1257.59,10746.59
24.0,algae_20k_cells_ml,20000,white,13775,20429,33046,44032,6419.45,2901.64,1257.59,10746.59
26.0,algae_20k_cells_ml,20000,white,13764,20413,33038,44032,6419.45,2901.64,1257.59,10746.59
29.0,algae_20k_cells_ml,20000,white,13762,20396,32997,44032,6419.45,2901.64,1257.59,10746.59
31.0,algae_20k_cells_ml,20000,white,13765,20368,32950,44032,6419.45,2901.64,1257.59,10746.59
33.0,algae_20k_cells_ml,20000,white,13761,20370,32968,44032,6419.45,2901.64,1257.59,10746.59
35.0,algae_20k_cells_ml,20000,white,13767,20359,32932,44032,6419.45,2901.64,1257.59,10746.59
37.0,algae_20k_cells_ml,20000,white,13768,20352,32991,44032,6419.45,2901.64,1257.59,10746.59
39.0,algae_20k_cells_ml,20000,white,13776,20343,32959,44032,6419.45,2901.64,1257.59,10746.59
41.0,algae_20k_cells_ml,20000,white,13776,20331,32942,44032,6419.45,2901.64,1257.59,10746.59
43.0,algae_20k_cells_ml,20000,white,13783,20318,32897,44032,6419.45,2901.64,1257.59,10746.59
45.0,algae_20k_cells_ml,20000,white,13765,20264,32713,44032,6419.45,2901.64,1257.59,10746.59
47.0,algae_20k_cells_ml,20000,white,13760,20285,32791,44032,6419.45,2901.64,1257.59,10746.59
49.0,algae_20k_cells_ml,20000,white,13753,20268,32757,44032,6419.45,2901.64,1257.59,10746.59
51.0,algae_20k_cells_ml,20000,white,13746,20258,32698,44032,6419.45,2901.64,1257.59,10746.59
53.0,algae_20k_cells_ml,20000,white,13741,20243,32674,44032,6419.45,2901.64,1257.59,10746.59
56.0,algae_20k_cells_ml,20000,white,13740,20227,32623,44032,6419.45,2901.64,1257.59,10746.59
58.0,algae_20k_cells_ml,20000,white,13732,20207,32594,44032,6419.45,2901.64,1257.59,10746.59
60.0,algae_20k_cells_ml,20000,white,13733,20201,32562,44032,6419.45,2901.64,1257.59,10746.59
