0.0,S3_algae_1.5k_cells_ml,1500,white,30596,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
2.0,S3_algae_1.5k_cells_ml,1500,white,30501,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
4.0,S3_algae_1.5k_cells_ml,1500,white,30289,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
6.0,S3_algae_1.5k_cells_ml,1500,white,30030,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
8.0,S3_algae_1.5k_cells_ml,1500,white,30221,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
10.0,S3_algae_1.5k_cells_ml,1500,white,30203,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
12.0,S3_algae_1.5k_cells_ml,1500,white,30159,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
14.0,S3_algae_1.5k_cells_ml,1500,white,30316,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
16.0,S3_algae_1.5k_cells_ml,1500,white,30317,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
18.0,S3_algae_1.5k_cells_ml,1500,white,30063,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
21.0,S3_algae_1.5k_cells_ml,1500,white,30197,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
23.0,S3_algae_1.5k_cells_ml,1500,white,30924,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
25.0,S3_algae_1.5k_cells_ml,1500,white,30782,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
27.0,S3_algae_1.5k_cells_ml,1500,white,30889,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
29.0,S3_algae_1.5k_cells_ml,1500,white,29681,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
31.0,S3_algae_1.5k_cells_ml,1500,white,30986,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
33.0,S3_algae_1.5k_cells_ml,1500,white,31273,44032,44032,44032,6554.50,2953.38,1285.50,10967.04
