time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,algae_10k_cells_ml,10000,white,6394,2904,1264,10711,6399.78,2909.00,1267.87,10718.48
2.0,algae_10k_cells_ml,10000,white,6393,2904,1262,10715,6399.78,2909.00,1267.87,10718.48
4.0,algae_10k_cells_ml,10000,white,6396,2903,1262,10717,6399.78,2909.00,1267.87,10718.48
0.0,algae_10k_cells_ml,10000,white,44032,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
2.0,algae_10k_cells_ml,10000,white,44032,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
4.0,algae_10k_cells_ml,10000,white,44032,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
6.0,algae_10k_cells_ml,10000,white,44032,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
8.0,algae_10k_cells_ml,10000,white,44032,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
10.0,algae_10k_cells_ml,10000,white,34041,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
12.0,algae_10k_cells_ml,10000,white,27199,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
14.0,algae_10k_cells_ml,10000,white,31581,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
16.0,algae_10k_cells_ml,10000,white,26796,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
18.0,algae_10k_cells_ml,10000,white,22870,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
20.0,algae_10k_cells_ml,10000,white,25710,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
22.0,algae_10k_cells_ml,10000,white,28427,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
24.0,algae_10k_cells_ml,10000,white,29100,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
26.0,algae_10k_cells_ml,10000,white,29285,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
28.0,algae_10k_cells_ml,10000,white,25371,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
31.0,algae_10k_cells_ml,10000,white,24452,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
33.0,algae_10k_cells_ml,10000,white,24200,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
35.0,algae_10k_cells_ml,10000,white,23931,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
37.0,algae_10k_cells_ml,10000,white,23884,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
39.0,algae_10k_cells_ml,10000,white,23701,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
41.0,algae_10k_cells_ml,10000,white,23688,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
43.0,algae_10k_cells_ml,10000,white,23601,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
45.0,algae_10k_cells_ml,10000,white,23526,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
47.0,algae_10k_cells_ml,10000,white,23443,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
49.0,algae_10k_cells_ml,10000,white,23379,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
51.0,algae_10k_cells_ml,10000,white,23279,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
53.0,algae_10k_cells_ml,10000,white,23209,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
55.0,algae_10k_cells_ml,10000,white,23148,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
58.0,algae_10k_cells_ml,10000,white,23106,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
60.0,algae_10k_cells_ml,10000,white,23060,44032,44032,44032,6358.30,2879.35,1248.85,10651.55
