time_s,sample,concentration_cells_ml,led_mode,r,g,b,c,dark_r,dark_g,dark_b,dark_c
0.0,algae_20k_cells_ml,20000,white,13905,20655,33692,39147,257.59,177.05,134.15,569.20
2.0,algae_20k_cells_ml,20000,white,13889,20667,33670,39237,257.37,179.46,136.01,570.76
4.0,algae_20k_cells_ml,20000,white,13878,20654,33641,39156,258.97,177.88,135.87,567.69
6.0,algae_20k_cells_ml,20000,white,13860,20617,33591,39103,256.58,180.12,134.27,568.46
8.0,algae_20k_cells_ml,20000,white,13854,20594,33517,39024,256.24,178.56,135.30,565.95
10.0,algae_20k_cells_ml,20000,white,13847,20585,33513,39116,255.86,179.20,133.13,570.46
12.0,algae_20k_cells_ml,20000,white,13829,20565,33449,39013,257.63,178.49,135.15,570.51
14.0,algae_20k_cells_ml,20000,white,13821,20551,33401,39017,255.41,178.51,137.61,565.86
16.0,algae_20k_cells_ml,20000,white,13813,20527,33341,38909,257.59,178.39,133.48,566.41
18.0,algae_20k_cells_ml,20000,white,13800,20497,33263,38917,255.41,179.68,135.20,569.20
20.0,algae_20k_cells_ml,20000,white,13794,20483,33208,38967,257.22,177.93,136.56,569.80
22.0,algae_20k_cells_ml,20000,white,13776,20443,33097,38907,257.35,177.04,135.14,568.85
24.0,algae_20k_cells_ml,20000,white,13775,20429,33046,38877,258.48,177.84,134.73,566.91
26.0,algae_20k_cells_ml,20000,white,13764,20413,33038,38911,258.56,176.88,134.75,569.64
29.0,algae_20k_cells_ml,20000,white,13762,20396,32997,38883,256.13,175.59,137.27,568.38
31.0,algae_20k_cells_ml,20000,white,13765,20368,32950,38789,253.99,179.43,136.85,568.45
33.0,algae_20k_cells_ml,20000,white,13761,20370,32968,38779,256.68,177.94,136.57,568.22
35.0,algae_20k_cells_ml,20000,white,13767,20359,32932,38751,258.37,177.91,135.43,567.49
37.0,algae_20k_cells_ml,20000,white,13768,20352,32991,38684,256.47,177.92,135.76,567.74
39.0,algae_20k_cells_ml,20000,white,13776,20343,32959,38708,256.24,176.30,134.56,568.74
41.0,algae_20k_cells_ml,20000,white,13776,20331,32942,38624,256.93,179.34,136.56,567.62
43.0,algae_20k_cells_ml,20000,white,13783,20318,32897,38652,258.32,179.49,135.39,569.77
45.0,algae_20k_cells_ml,20000,white,13765,20264,32713,38586,257.67,178.08,136.66,570.59
47.0,algae_20k_cells_ml,20000,white,13760,20285,32791,38590,256.77,180.07,135.49,569.57
49.0,algae_20k_cells_ml,20000,white,13753,20268,32757,38601,257.00,179.11,137.29,569.34
51.0,algae_20k_cells_ml,20000,white,13746,20258,32698,38452,256.23,176.68,133.54,569.65
53.0,algae_20k_cells_ml,20000,white,13741,20243,32674,38477,256.82,178.11,136.59,570.78
56.0,algae_20k_cells_ml,20000,white,13740,20227,32623,38419,256.23,178.13,135.22,570.37
58.0,algae_20k_cells_ml,20000,white,13732,20207,32594,38376,257.75,177.57,134.07,569.09
60.0,algae_20k_cells_ml,20000,white,13733,20201,32562,38407,257.61,179.03,137.51,569.62
